id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,pass_cross,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,end_z,shot_key_pass_id,off_camera,pass_deflected,counterpress,aerial_won,pass_switch,out,foul_won_defensive,shot_one_on_one,pass_cut_back,block_offensive,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_deflected,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,ball_recovery_recovery_failure,dribble_nutmeg,shot_open_goal,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,season_name,pass_no_touch,dribble_overrun,foul_committed_offensive,ball_recovery_offensive,foul_committed_penalty,foul_won_penalty,dribble_no_touch,shot_follows_dribble,block_save_block,half_start_late_video_start,shot_redirect,pass_backheel
c54f34c8-0585-4be9-9bac-9fa80d53d551,2270,2,00:18:49.080000,63,49,131,2.293,7542,16,Shot,788,Morocco,4,From Throw In,788,Morocco,,5232.0,Mbark Boussoufa,11.0,Left Defensive Midfield,,,,,,,107.0,22.0,37.0,Head,87.0,Open Play,113.0,34.0,,101.0,Wayward,,0.084413245,93.0,Normal,,,,,,,0ba47e77-39d4-4348-91c4-ea851006ce7f,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
80e17d93-b296-4fdd-a090-45468d6cb7e0,2355,2,00:22:26.160000,67,26,135,1.253,7542,16,Shot,788,Morocco,3,From Free Kick,788,Morocco,,5237.0,Hakim Ziyech,21.0,Left Wing,,,,,,,120.0,42.6,38.0,Left Foot,62.0,Free Kick,96.0,54.0,,98.0,Off T,,0.042571124,93.0,Normal,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
1085f4fc-7515-4b73-b619-0765c4d6e303,2440,2,00:25:49.080000,70,49,141,0.16,7542,16,Shot,780,Portugal,4,From Throw In,780,Portugal,,5207.0,Cristiano Ronaldo dos Santos Aveiro,24.0,Left Center Forward,,,,,,,97.0,17.0,40.0,Right Foot,87.0,Open Play,93.0,17.0,,96.0,Blocked,,0.006081588,93.0,Normal,,,,,,,d415a120-9010-482e-b255-76de9aa46561,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
85c4c040-45d8-4771-bc71-50aa426df36f,2763,2,00:32:55,77,55,157,0.76,7542,16,Shot,788,Morocco,3,From Free Kick,788,Morocco,,5244.0,Medhi Amine El Mouttaqi Benatia,3.0,Right Center Back,,,,,,,120.0,45.0,70.0,Other,87.0,Open Play,113.0,47.0,,98.0,Off T,,0.15676288,93.0,Normal,,,,,,0.2,2649fdda-556d-4bcc-8630-d54881b41632,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
782806e7-f898-47ba-bee7-9ac77b8331d1,2829,2,00:35:20.280000,80,20,160,1.373,7542,16,Shot,788,Morocco,2,From Corner,788,Morocco,,5727.0,Nabil Dirar,2.0,Right Back,,,,,,,120.0,39.9,40.0,Right Foot,87.0,Open Play,86.0,54.0,,98.0,Off T,,0.006087828,93.0,Normal,True,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
67cede1c-d4a2-4e8f-9613-30398e1bb2d4,2869,2,00:36:44.920000,81,44,162,0.48,7542,16,Shot,780,Portugal,4,From Throw In,780,Portugal,,5204.0,Bruno Miguel Borges Fernandes,16.0,Left Midfield,,,,,,,120.0,34.0,40.0,Right Foot,87.0,Open Play,97.0,52.0,,98.0,Off T,1.0,0.03569857,93.0,Normal,,,,,,0.2,2bfeb9b4-420b-4cbd-82d3-bd2d88238c98,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
6471d0ad-1701-4335-a034-f3829a23c150,2920,2,00:39:19.640000,84,19,166,0.453,7542,16,Shot,780,Portugal,3,From Free Kick,780,Portugal,,5207.0,Cristiano Ronaldo dos Santos Aveiro,24.0,Left Center Forward,,,,,,,110.0,32.0,40.0,Right Foot,62.0,Free Kick,102.0,31.0,,96.0,Blocked,,0.101404436,93.0,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
0b1b7c3b-a247-40b8-87cc-01620c999fa7,3106,2,00:44:43.720000,89,43,176,0.2,7542,16,Shot,788,Morocco,1,Regular Play,788,Morocco,,5237.0,Hakim Ziyech,17.0,Right Wing,,,,,,,114.0,46.0,38.0,Left Foot,87.0,Open Play,112.0,50.0,,96.0,Blocked,,0.07717339,93.0,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
3538ccf6-9927-4b41-888c-71b8fadc9320,3149,2,00:47:18.760000,92,18,180,0.653,7542,16,Shot,788,Morocco,3,From Free Kick,788,Morocco,,5244.0,Medhi Amine El Mouttaqi Benatia,3.0,Right Center Back,,,,,,,120.0,37.8,38.0,Left Foot,87.0,Open Play,111.0,38.0,,98.0,Off T,,0.13053852,93.0,Normal,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
a654ab54-0757-4db9-a52b-29cf2f7e2535,3240,2,00:49:43.333000,94,43,185,0.667,7542,16,Shot,780,Portugal,1,Regular Play,780,Portugal,,5204.0,Bruno Miguel Borges Fernandes,16.0,Left Midfield,,,,,,,120.0,44.4,40.0,Right Foot,87.0,Open Play,90.0,21.0,,98.0,Off T,,0.007644402,93.0,Normal,,,,,,6.7,f9426132-7cbb-4086-becd-bd79e8feb278,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
a76a9c47-4397-4b21-97f2-03dee8522ed2,116,1,00:04:46.900000,4,46,11,1.013,8656,16,Shot,768,England,3,From Free Kick,768,England,,3308.0,Kieran Trippier,7.0,Right Wing Back,,,,,,,120.0,43.4,40.0,Right Foot,62.0,Free Kick,96.0,43.0,,97.0,Goal,,0.087601066,93.0,Normal,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
b3596fd0-f591-4647-a2c5-ed1d68833385,371,1,00:13:41.780000,13,41,27,1.453,8656,16,Shot,768,England,2,From Corner,768,England,,3336.0,Harry Maguire,5.0,Left Center Back,,,,,,,120.0,45.6,37.0,Head,87.0,Open Play,111.0,37.0,,98.0,Off T,1.0,0.06737803,93.0,Normal,,,,,,0.3,884f098e-0a81-4434-abd1-c3bb3933cf0a,,,,True,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
8e20b032-f40b-492e-a991-92eae5b35a7a,534,1,00:18:18.313000,18,18,35,1.067,8656,16,Shot,785,Croatia,4,From Throw In,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,120.0,34.6,40.0,Right Foot,87.0,Open Play,94.0,20.0,,98.0,Off T,,0.009048959,93.0,Normal,,,,,,0.5,aff4acf1-c173-4f09-a11c-3ffb40928a6a,,,,,,,,,,,,,,True,,,,,,,,,,,,,2018,,,,,,,,,,,,
73d03cf0-9b2d-4965-ba95-207b71d50361,577,1,00:20:03.100000,20,3,37,0.18,8656,16,Shot,785,Croatia,1,Regular Play,785,Croatia,,5465.0,Ante Rebić,17.0,Right Wing,,,,,,,100.0,42.0,38.0,Left Foot,87.0,Open Play,98.0,41.0,,96.0,Blocked,,0.062660925,93.0,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
6fbb031b-c701-41aa-b9be-13bf09ca51cf,640,1,00:22:22.140000,22,22,41,1.493,8656,16,Shot,785,Croatia,3,From Free Kick,785,Croatia,,5474.0,Ivan Perišić,21.0,Left Wing,,,,,,,120.0,33.1,40.0,Right Foot,87.0,Open Play,87.0,26.0,,98.0,Off T,1.0,0.0076604215,91.0,Half Volley,,,,,,0.2,3bd9ea32-aa28-4633-ba1c-346eb3d59fdf,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
1a9c6422-1277-4d85-8124-ccf6fbef9d9b,930,1,00:31:02.700000,31,2,57,0.773,8656,16,Shot,785,Croatia,4,From Throw In,785,Croatia,,5465.0,Ante Rebić,17.0,Right Wing,,,,,,,119.0,37.4,38.0,Left Foot,87.0,Open Play,101.0,50.0,,100.0,Saved,,0.052557826,93.0,Normal,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
