minute,second,period,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,x,y,end_x,end_y,goal,shot_angle,distance_from_center,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,shot_distance
55,35,2,0,1,0,0,0,96.1,40.4,106.9,37.9,0,0.3315655096871427,0.3999999999999986,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23.903347045968275
58,38,2,0,1,0,0,0,87.8,34.7,118.4,39.7,0,0.2408177465383761,5.299999999999997,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,32.633265236564974
64,52,2,0,1,0,0,0,115.1,51.5,115.3,44.4,0,0.2725273362535688,11.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.500399993600206
64,55,2,0,0,0,0,0,113.8,33.3,120.0,35.5,0,0.6349152679215426,6.700000000000003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.12852671574116
67,45,2,0,0,0,0,0,103.1,28.2,116.5,39.5,0,0.3193639240832025,11.8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20.61188977265307
75,7,2,0,1,0,0,0,113.9,36.6,120.0,38.1,0,0.9794437310607736,3.3999999999999986,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.983552104767309
84,31,2,0,0,1,0,0,118.2,49.7,119.5,45.3,0,0.1752402970808166,9.700000000000005,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.865596788841517
86,30,2,0,0,0,0,0,108.3,46.4,109.2,45.8,0,0.5243207123034218,6.399999999999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.336041391657425
89,4,2,0,0,1,0,0,113.9,28.3,120.0,46.8,0,0.2993876227541352,11.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13.194695904036587
92,31,2,0,1,0,0,0,115.2,45.2,120.0,44.7,0,0.8449303834726962,5.200000000000003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.076722405181654
120,21,5,0,0,1,0,0,108.0,40.0,120.0,36.0,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
121,20,5,0,0,0,0,0,108.0,40.0,120.0,36.4,1,0.6435011087932844,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
122,15,5,0,0,0,0,0,108.0,40.0,120.0,41.7,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
123,9,5,0,0,0,0,0,108.0,40.0,120.0,40.3,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
123,59,5,0,0,0,0,0,108.0,40.0,120.0,36.9,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
124,55,5,0,0,0,0,0,107.9,40.0,120.0,39.4,1,0.6385383398226834,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.099999999999994
125,46,5,0,0,0,0,0,108.0,40.0,120.0,43.2,1,0.6435011087932844,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
126,32,5,0,0,0,0,0,108.0,40.0,120.0,38.7,1,0.6435011087932844,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
127,27,5,0,0,0,0,0,108.0,40.0,120.0,37.6,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
128,25,5,0,0,0,0,0,108.0,40.0,119.2,37.7,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
129,24,5,0,0,0,0,0,108.0,40.0,120.0,36.8,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
130,33,5,0,0,0,0,0,108.0,40.0,120.0,42.8,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
131,20,5,0,0,0,0,0,108.0,40.0,120.0,37.1,1,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
132,19,5,0,0,0,0,0,108.0,40.0,119.3,38.1,0,0.6435011087932844,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.0
16,59,1,1,0,0,0,0,109.3,33.2,120.0,46.0,0,0.5341061566438755,6.799999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.677933585565118
18,55,1,1,0,0,0,0,96.4,53.4,100.9,51.5,0,0.2562713628734142,13.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27.138901967470968
23,10,1,0,0,0,0,0,106.8,42.0,107.9,41.8,0,0.5769989211340105,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13.350655414622912
28,39,1,0,0,1,0,0,115.4,37.4,118.7,37.8,0,1.2575478566112055,2.6000000000000014,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.283937925449158
34,58,1,1,0,0,0,0,113.7,37.6,118.6,22.7,0,1.041982005515072,2.3999999999999986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7416615162732665
35,3,1,1,0,0,0,0,106.5,35.8,120.0,45.6,0,0.5310345974753046,4.200000000000003,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.138246001537816
39,24,1,0,0,0,0,0,86.6,53.0,103.3,45.0,0,0.2075979289993457,13.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,35.840758920536274
39,49,1,0,0,0,0,0,111.6,38.1,120.0,47.3,0,0.857300795354459,1.8999999999999984,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.612200647918051
41,39,1,1,1,0,0,0,102.7,55.1,120.0,36.0,0,0.264347920315516,15.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22.963013739489856
47,50,2,0,0,0,0,0,112.7,52.5,120.0,45.3,0,0.2930582334575612,12.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14.475496537252184
58,30,2,0,0,0,0,0,100.9,49.6,117.1,40.9,0,0.3335612689260976,9.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21.3768566445116
59,59,2,1,0,0,0,0,101.6,31.6,105.4,33.1,0,0.3582799493963287,8.399999999999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.22671500763286
61,49,2,0,0,0,0,0,110.2,31.8,120.0,33.5,0,0.4891675929529527,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.778106275970629
64,4,2,0,1,0,0,0,106.3,30.2,120.0,42.8,1,0.3885557587383197,9.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16.844286865284626
66,14,2,0,0,0,0,0,103.1,63.6,120.0,36.3,0,0.1621317785352133,23.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29.027056344038748
67,48,2,1,0,0,0,0,114.7,32.8,120.0,38.2,0,0.5856164046707764,7.200000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.94035793466906
70,36,2,0,1,0,0,0,95.3,40.3,120.0,46.0,0,0.3210536340897048,0.2999999999999971,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24.70182179516321
77,13,2,0,1,0,0,0,96.8,42.3,120.0,35.0,0,0.3383026935247432,2.299999999999997,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,23.313729860320507
78,50,2,0,0,0,0,0,97.8,54.3,108.0,47.2,0,0.2549923832199864,14.299999999999995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26.40700664596425
83,17,2,1,0,0,0,0,89.8,38.2,120.0,32.6,0,0.2624618765849917,1.7999999999999972,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30.253594827722544
91,51,2,0,1,0,0,0,95.0,41.3,120.0,45.9,0,0.3164899573755969,1.2999999999999972,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25.03377718203947
14,55,1,0,1,0,0,0,95.1,38.5,118.8,40.3,0,0.3174591606073546,1.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24.94513980718489
23,58,1,1,0,0,0,0,112.0,45.6,118.1,42.4,0,0.6786624907483125,5.600000000000001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.765244492586962
27,31,1,0,1,0,0,0,103.9,41.4,117.5,39.3,0,0.483721147153221,1.3999999999999986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.160754932861266
29,32,1,0,1,0,0,0,56.8,30.9,66.5,32.4,0,0.1238624807961983,9.1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,63.85178149433264
34,1,1,0,0,0,0,0,109.9,47.4,120.0,55.5,0,0.5210718487278339,7.399999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.520782723136756
