minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
28,9,1,Australia,Harry Souttar,Right Center Back,111.9,44.0,114.0,40.9,Head,Normal,From Corner,True,False,False,False,False,0.06809473,Blocked,2022,0,9.033825324855464,0.7155359499230528,4.0
34,35,1,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,104.2,48.9,120.0,37.1,Left Foot,Normal,From Free Kick,False,False,False,False,False,0.06663833,Goal,2022,1,18.13422179196008,0.35141513635565,8.899999999999999
49,59,2,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,99.8,38.5,116.9,40.0,Left Foot,Normal,Regular Play,False,False,False,False,True,0.04517154,Saved,2022,0,20.255616505058544,0.3566231900448399,1.5
56,41,2,Argentina,Julián Álvarez,Left Center Forward,110.4,50.3,120.0,36.5,Right Foot,Normal,Regular Play,False,False,False,False,False,0.28060678,Goal,2022,1,14.080127840328718,0.36327618507001935,10.299999999999997
65,50,2,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,95.4,33.6,120.0,31.6,Left Foot,Normal,From Corner,False,False,False,False,False,0.032841697,Off T,2022,0,25.418890613085374,0.27726717279403085,6.399999999999999
74,43,2,Argentina,Nicolás Alejandro Tagliafico,Left Wing Back,103.2,24.9,120.0,49.6,Left Foot,Normal,Regular Play,False,False,False,False,False,0.05181273,Off T,2022,0,22.588713996153032,0.24263294386373446,15.100000000000001
76,9,2,Australia,Craig Goodwin,Left Midfield,98.2,22.6,104.9,26.6,Left Foot,Half Volley,Regular Play,False,True,False,False,False,0.013616442,Blocked,2022,0,27.892651361962702,0.20575061494383262,17.4
80,8,2,Australia,Aziz Eraltay Behich,Left Back,110.6,33.2,111.4,33.7,Right Foot,Normal,From Free Kick,False,False,False,False,False,0.07721693,Blocked,2022,0,11.601724009818545,0.5163324661868569,6.799999999999997
80,41,2,Australia,Ajdin Hrustic,Right Midfield,100.0,52.7,120.0,36.2,Left Foot,Normal,From Corner,True,False,False,False,False,0.033247408,Off T,2022,0,23.69155967850154,0.261104707920783,12.700000000000003
87,15,2,Argentina,Lautaro Javier Martínez,Left Center Forward,108.3,52.3,120.0,30.0,Right Foot,Normal,From Free Kick,False,True,False,False,False,0.051439364,Off T,2022,0,16.97586522095413,0.30213498827252283,12.299999999999997
