match_id,competition_name,season_name,minute,second,period,team,player,position,shot_body_part,shot_technique,play_pattern,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,shot_outcome,x,y,end_x,end_y,goal
3923880,African Cup of Nations,2023,50,19,2,Congo DR,Simon Bokote Banza,Center Forward,Right Foot,Half Volley,Regular Play,1,1,0,0,0,0.059335735,Off T,109.7,52.4,120.0,44.6,0
3923880,African Cup of Nations,2023,51,58,2,Congo DR,Grady Diangana,Center Attacking Midfield,Left Foot,Half Volley,From Throw In,0,1,0,0,0,0.05373161,Off T,100.0,33.1,120.0,37.9,0
3923880,African Cup of Nations,2023,53,33,2,South Africa,Thapelo James Morena,Right Midfield,Right Foot,Normal,From Goal Kick,0,1,0,0,0,0.06934449,Off T,99.4,41.0,120.0,47.5,0
3923880,African Cup of Nations,2023,55,35,2,South Africa,Teboho Mokoena,Right Defensive Midfield,Right Foot,Half Volley,Regular Play,0,1,0,0,0,0.026229925,Wayward,96.1,40.4,106.9,37.9,0
3923880,African Cup of Nations,2023,58,38,2,Congo DR,Meschak Elia,Left Wing,Right Foot,Normal,From Free Kick,0,1,0,0,0,0.022559946,Saved,87.8,34.7,118.4,39.7,0
3923880,African Cup of Nations,2023,64,52,2,Congo DR,Meschak Elia,Right Wing,Left Foot,Half Volley,Regular Play,0,1,0,0,0,0.2388853,Wayward,115.1,51.5,115.3,44.4,0
3923880,African Cup of Nations,2023,64,55,2,Congo DR,Silas Katompa Mvumpa,Left Wing,Right Foot,Normal,Regular Play,0,0,0,0,0,0.20802861,Off T,113.8,33.3,120.0,35.5,0
3923880,African Cup of Nations,2023,67,45,2,South Africa,Mihlali Samson Mayambela,Center Forward,Left Foot,Half Volley,From Counter,0,0,0,0,0,0.07495637,Saved,103.1,28.2,116.5,39.5,0
3923880,African Cup of Nations,2023,75,7,2,Congo DR,Chancel Mbemba Mangulu,Right Center Back,Right Foot,Volley,From Free Kick,0,1,0,0,0,0.3070562,Off T,113.9,36.6,120.0,38.1,0
3923880,African Cup of Nations,2023,84,31,2,South Africa,Mihlali Samson Mayambela,Center Forward,Right Foot,Normal,Regular Play,0,0,1,0,0,0.024641281,Saved,118.2,49.7,119.5,45.3,0
3923880,African Cup of Nations,2023,86,30,2,Congo DR,Fiston Kalala Mayele,Center Attacking Midfield,Left Foot,Half Volley,From Throw In,0,0,0,0,0,0.056054685,Blocked,108.3,46.4,109.2,45.8,0
3923880,African Cup of Nations,2023,89,4,2,Congo DR,Fiston Kalala Mayele,Center Attacking Midfield,Left Foot,Volley,Regular Play,0,0,1,0,0,0.0957305,Off T,113.9,28.3,120.0,46.8,0
3923880,African Cup of Nations,2023,92,31,2,Congo DR,Yoane Wissa,Right Wing,Right Foot,Volley,Regular Play,0,1,0,0,0,0.24806498,Off T,115.2,45.2,120.0,44.7,0
3923880,African Cup of Nations,2023,120,21,5,South Africa,Teboho Mokoena,Center Attacking Midfield,Right Foot,Normal,Other,0,0,1,0,0,0.7835,Post,108.0,40.0,120.0,36.0,0
3923880,African Cup of Nations,2023,121,20,5,Congo DR,Samuel Moutoussamy,Left Defensive Midfield,Left Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,36.4,1
3923880,African Cup of Nations,2023,122,15,5,South Africa,Nkosinathi Sibisi,Left Center Back,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,41.7,1
3923880,African Cup of Nations,2023,123,9,5,Congo DR,Omenuke Mfulu,Right Defensive Midfield,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,40.3,1
3923880,African Cup of Nations,2023,123,59,5,South Africa,Thabang Amod Monare,Right Defensive Midfield,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,36.9,1
3923880,African Cup of Nations,2023,124,55,5,Congo DR,Cédric Bakambu,Center Forward,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,107.9,40.0,120.0,39.4,1
3923880,African Cup of Nations,2023,125,46,5,South Africa,Aubrey Maphosa Modiba,Left Wing,Left Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,43.2,1
3923880,African Cup of Nations,2023,126,32,5,Congo DR,Joris Kayembe Ditu,Left Back,Left Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,38.7,1
3923880,African Cup of Nations,2023,127,27,5,South Africa,Zakhele Lerato Lepasa,Center Forward,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,37.6,1
3923880,African Cup of Nations,2023,128,25,5,Congo DR,Chancel Mbemba Mangulu,Right Center Back,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Saved,108.0,40.0,119.2,37.7,0
3923880,African Cup of Nations,2023,129,24,5,South Africa,Oswin Reagan Appollis,Right Wing,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,36.8,1
3923880,African Cup of Nations,2023,130,33,5,Congo DR,Yoane Wissa,Right Wing,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,42.8,1
3923880,African Cup of Nations,2023,131,20,5,South Africa,Siyanda Xulu,Right Center Back,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Goal,108.0,40.0,120.0,37.1,1
3923880,African Cup of Nations,2023,132,19,5,Congo DR,Meschak Elia,Left Wing,Right Foot,Normal,Other,0,0,0,0,0,0.7835,Saved,108.0,40.0,119.3,38.1,0
3922838,African Cup of Nations,2023,16,59,1,Côte d'Ivoire,Simon Adingra,Left Wing,Head,Normal,From Throw In,1,0,0,0,0,0.031324156,Off T,109.3,33.2,120.0,46.0,0
3922838,African Cup of Nations,2023,18,55,1,Congo DR,Gaël Kakuta,Center Attacking Midfield,Right Foot,Normal,Regular Play,1,0,0,0,0,0.026235199,Blocked,96.4,53.4,100.9,51.5,0
3922838,African Cup of Nations,2023,23,10,1,Congo DR,Cédric Bakambu,Center Forward,Right Foot,Overhead Kick,From Throw In,0,0,0,0,0,0.025500555,Blocked,106.8,42.0,107.9,41.8,0
3922838,African Cup of Nations,2023,28,39,1,Congo DR,Yoane Wissa,Left Wing,Right Foot,Half Volley,Regular Play,0,0,1,0,0,0.56948215,Saved,115.4,37.4,118.7,37.8,0
3922838,African Cup of Nations,2023,34,58,1,Côte d'Ivoire,Franck Yannick Kessié,Right Center Midfield,Head,Normal,From Corner,1,0,0,0,0,0.15046787,Wayward,113.7,37.6,118.6,22.7,0
