id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,pass_cross,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,end_z,shot_key_pass_id,off_camera,pass_deflected,counterpress,aerial_won,pass_switch,out,foul_won_defensive,shot_one_on_one,pass_cut_back,block_offensive,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_deflected,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,ball_recovery_recovery_failure,dribble_nutmeg,shot_open_goal,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name
6cee2bd6-3370-4a3f-9a1e-a580d18e8809,1038,1,00:29:53.165000,29,53,73,0.734525,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,3533.0,Xherdan Shaqiri,17.0,Right Wing,,,,,,,120.0,44.5,38.0,Left Foot,87.0,Open Play,107.7,49.2,,98.0,Off T,1.0,0.3934682,93.0,Normal,,,,,,0.6,dc75f899-b817-404c-bae0-82b3b1926d29,,,,,,,,True,,,,,,,,,,,,,,,,,,
315de8c7-f26d-4e85-ac65-1f5533f108e0,1175,1,00:34:28.223000,34,28,82,1.118632,3857256,16,Shot,786,Serbia,6,From Counter,786,Serbia,,18015.0,Dušan Vlahović,22.0,Right Center Forward,,,,,,,120.0,43.7,38.0,Left Foot,87.0,Open Play,106.2,31.8,,97.0,Goal,,0.15928414,93.0,Normal,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce449cb2-5974-46ce-8e69-fa53df9ee074,1247,1,00:37:26.399000,37,26,87,0.191273,3857256,16,Shot,773,Switzerland,4,From Throw In,773,Switzerland,,30401.0,Ruben Vargas,21.0,Left Wing,,,,,,,105.9,45.2,40.0,Right Foot,87.0,Open Play,101.0,47.3,,96.0,Blocked,,0.0683221,93.0,Normal,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eefd5-97eb-4c07-9ac7-241b3bfe1356,1440,1,00:43:41.456000,43,41,99,0.335147,3857256,16,Shot,773,Switzerland,1,Regular Play,773,Switzerland,,5545.0,Breel-Donald Embolo,23.0,Center Forward,,,,,,,120.0,37.8,40.0,Right Foot,87.0,Open Play,114.4,36.9,,97.0,Goal,,0.72697556,93.0,Normal,True,,,,,0.6,d6620619-2742-4493-9bbe-9764f48fea79,,,,,,,,,,,,,,,,,,,,,True,,,,,
5a665436-df39-42a9-bc2e-6fa33394ac5f,1503,1,00:47:38.097000,47,38,106,0.345056,3857256,16,Shot,786,Serbia,4,From Throw In,786,Serbia,,4269.0,Aleksandar Mitrović,24.0,Left Center Forward,,,,,,,105.3,37.4,40.0,Right Foot,87.0,Open Play,101.7,33.7,,101.0,Wayward,,0.056521177,95.0,Volley,True,,,,,,ccd9398b-5fed-4b2e-ba8d-f10d128f3bb1,,,,,,,,,,,,,,,,,,,,,,,,,,
d46db09d-7f77-447c-80fb-6cc0928f060a,1621,2,00:02:38.859000,47,38,113,0.534031,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,6983.0,Remo Freuler,9.0,Right Defensive Midfield,,,,,,,120.0,42.7,38.0,Left Foot,87.0,Open Play,107.2,41.2,,97.0,Goal,,0.15381548,91.0,Half Volley,True,,,,,0.6,b82b9f6d-7906-4a82-8c94-32cd5beb5b50,,,,,,,,,,,,,,,,,,,,,,,,,,
1b19f202-7a71-4df3-b20c-bca100a02f59,1856,2,00:11:32.171000,56,32,127,0.286691,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,5537.0,Fabian Lukas Schär,3.0,Right Center Back,,,,,,,114.1,35.7,40.0,Right Foot,87.0,Open Play,110.7,30.5,,96.0,Blocked,,0.07925899,95.0,Volley,True,,,,,,31d54cdb-cdff-48b7-a2f0-6deb752b24f8,,,,,,,,,,,,,,,,,,,,,,,,,,
16eedabd-c8b8-4c23-88f2-b17b3636f382,1860,2,00:11:33.327000,56,33,127,0.557633,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,5545.0,Breel-Donald Embolo,23.0,Center Forward,,,,,,,120.0,38.8,40.0,Right Foot,87.0,Open Play,116.1,39.3,,98.0,Off T,,0.6647709,91.0,Half Volley,True,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a1d44e8-2b65-422b-a804-0f5413ad2390,1979,2,00:15:06.027000,60,6,136,0.945234,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,,3831.0,Dušan Tadić,19.0,Center Attacking Midfield,,,,,,,120.0,37.1,38.0,Left Foot,87.0,Open Play,107.4,31.7,,98.0,Off T,,0.061684445,91.0,Half Volley,,,,,,4.1,96fe0168-ce66-4a54-8756-b92bad43f447,,,,,,,,,,,,,,,,,,,,,,,,,,
248db6b9-ea93-438e-84f0-20158bfbba14,2244,2,00:25:49.383000,70,49,153,0.14238,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,,4269.0,Aleksandar Mitrović,24.0,Left Center Forward,,,,,,,107.5,27.4,40.0,Right Foot,87.0,Open Play,106.2,25.8,,96.0,Blocked,,0.03203667,93.0,Normal,,,,,,,99dab295-834e-44c2-8d06-c77e76c7debb,,,,,,,,,,,,,,,,,,,,,,,,,,
06926bc9-8a40-48a4-9f61-e27d7dcf804d,2309,2,00:27:00.173000,72,0,155,0.067566,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,,6319.0,Luka Jović,22.0,Right Center Forward,,,,,,,103.1,43.1,37.0,Head,87.0,Open Play,102.2,43.2,,96.0,Blocked,1.0,0.02594082,93.0,Normal,,,,,,,85619c95-91ee-45fc-bcbc-3d59fc3da03a,,,,True,,,,,,,,,,,,,,,,,,,,,,
3c23cdb3-0a42-49ae-9030-888e2f892171,2635,2,00:36:58.892000,81,58,168,0.808534,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,5549.0,Manuel Obafemi Akanji,5.0,Left Center Back,,,,,,,120.0,44.9,40.0,Right Foot,87.0,Open Play,99.4,52.7,,98.0,Off T,,0.030122569,93.0,Normal,True,,,,,2.3,7d38e7a3-f673-4f3f-afb0-c579b105c652,,,,,,,,,,,,,,,,,,,,,,,,,,
a8953e7b-69b5-4d68-922a-a3cf2ce6ca0f,2945,2,00:43:48.197000,88,48,185,0.070657,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,16022.0,Christian Fassnacht,21.0,Left Wing,,,,,,,107.0,30.1,40.0,Right Foot,87.0,Open Play,105.3,28.9,,100.0,Saved,,0.31681746,93.0,Normal,,,,,,0.0,6419cb53-0831-4b2d-bc4b-d4abea02b5b3,,,,,,,,,,,,,,,,,,,,,,,,,,
e7ede913-f7f7-48b7-92d3-b88295a117d7,3074,2,00:46:50.883000,91,50,191,1.21439,3857256,16,Shot,786,Serbia,4,From Throw In,786,Serbia,,6319.0,Luka Jović,22.0,Right Center Forward,,,,,,,120.0,37.1,37.0,Head,87.0,Open Play,105.0,39.8,,98.0,Off T,1.0,0.03223471,93.0,Normal,,,,,,4.1,afe0fe3d-4c8e-44c4-9f1b-04c223b685ea,,,,True,,,,,,,,,,,,,,,,,,,,,,
e674f461-f75f-4df1-8950-f5922f84e9ce,3208,2,00:54:51.450000,99,51,203,0.791543,3857256,16,Shot,786,Serbia,3,From Free Kick,786,Serbia,,5833.0,Nemanja Radonjić,7.0,Right Wing Back,,,,,,,120.0,45.2,38.0,Left Foot,87.0,Open Play,105.7,51.3,,98.0,Off T,,0.042810295,91.0,Half Volley,True,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
